,Sentence
384,Choe also taught at Yonsei University and Catholic University of Korea.
385,Work Choe Inho began writing in 1963 at age 17 and took to it naturally.
386,Early life Nayyar was born in 1948 in Bahawalpur.
387,"Adam Nayyar (December 10, 1948, in Bahawalpur – July 29, 2008, in Islamabad) was a Pakistani anthropologist, author and ethnomusicologist."
388,References
389,He was the acting executive director of Pakistan National Council of the Arts (PNCA) when he died.
390,He served the Lok Virsa for twenty years as a Director Research.
391,"He studied Cultural anthropology at the University of Heidelberg, Germany."
392,"Death Nayyar died on July 29, 2008, in Islamabad due to cancer of lymph nodes."
393,"Baishnaba Pani (1882–1956) was an Indian writer and arranger of jatras, born at Kothapada, Mahanga, Cuttack; a type of folk-theatre in the state of Odisha."
394,"Some of his popular jatra stories include ""Saudagara Farce"", ""Abu Hussain Farce"", and ""'Natua Mohanty Farce""."
395,"He introduced ""gitinatya"" (musical performance) for the first time in Odia jatra."
396,"His family were Punjabi Sikhs and had origins in Ras Koh Hills, Balochistan (British India) (now in Pakistan), and during the interwar years his parents left to work in East Africa."
397,This included those that Parker lived with and the two family physicians that recently treated her.
398,"He told Williams that ""When I started work, people wouldn’t speak to me – not even my secretary, for a couple of weeks."
399,"After a two-hour interview in which he was hardly asked any questions as the interviewers spent most of the time asking each other questions, he was asked to wait before being informed that a decision was inconclusive, but when he arrived back home he received a call confirming he got the job."
400,"Of the two main tasks of the committee; finding out how smallpox arose in the first place and identifying and containing spread of smallpox in the community, Bakhshi's role, now designated ""Outbreaks Liaison Officer"", was contact tracing and quarantine, home visits to contacts, vaccinations, and antibody injections."
401,"""Exotic Infectious Diseases: Smallpox""."
402,A knowledge compendium for the global age (2008).
403,"In addition to his efforts in containing smallpox, he dealt with other outbreaks in Birmingham including hepatitis A, hepatitis B, meningitis and typhoid."
404,"Their action in dealing with the task of tracing isolating and vaccinating all close contacts of Mrs Parker, and in disinfecting all areas of possible contamination was impressive and contributed considerably to preventing a far wider spread of infection."
405,"On returning to Zambia, he was appointed regional medical officer and became involved in containing a cholera outbreak among refugees from Mozambique."
406,2006.
407,"During his tenure as medical officer in Birmingham, he was responsible for containing other outbreaks including hepatitis A, meningitis, and typhoid."
408,"""Framework of epidemiological principles underlying chemical incidents surveillance plans and training implications for public health practitioners""."
409,"It was Bakhshi who informed the World Health Organization in mid-October, seven weeks after the onset of the outbreak, that the outbreak was contained and the alert was lifted."
410,"Selected publications Articles Nicol, W.; Bakhshi, S.S. (April 1980)."
411,"Bakhshi received his medical degree from Makerere University in Kampala, Uganda."
412,S2CID 37556538.
413,"Pallen explains that Bakhshi secured unrestricted funding, the use of three floors of Birmingham's Holiday Inn, the black cab service, food from local restaurants, and the recruitment of around 60 doctors, 40 nurses, 85 environmental health inspectors and associates, six officers for disinfection and near a hundred administrative staff."
414,ISBN 1-905237-53-7.
415,"With his family home in Gloucester, he shared his time between Birmingham in the week and home for weekends."
416,"In retirement, Bakhshi published Tuberculosis in the United Kingdom: A tale of two nations (2006) and Sikhs in the Diaspora: A modern guide to the practice of Sikh Faith."
417,Books Tuberculosis in the United Kingdom: A tale of two nations.
418,"Hawker, Jeremy I.; Bakhshi, Surinder S.; Ali, Shaukat; Farrington, C. Paddy (16 October 1999)."
419,"Surinder Singh Bakhshi (born 1937) is a British writer and physician, who in 1977 was appointed medical officer of environmental health to the Birmingham Area Health Authority, where he led the successful contact tracing and quarantine effort in the community during the 1978 smallpox outbreak in the United Kingdom."
420,"That year, he married Rajinder Kaur, his childhood sweetheart."
421,"Under the chairmanship of William Nicol, Medical Officer to the Birmingham area, the committee included Henry Bedson and Geddes, in addition to Bakhshi."
422,Sikhs in the Diaspora: A modern guide to the practice of Sikh Faith.
423,"In 1977, he was appointed medical officer of environmental health for the Birmingham Area Health Authority."
424,He first came to hear of smallpox in Birmingham on 25 August 1978 and the first meeting of the control of smallpox outbreak advisory committee took place that same day.
425,Birmingham
426,"Situated by the Zambezi in Zambia, he treated mostly snakebites and tuberculosis in the Barotse population."
427,After three years there he moved to the United States after a brief period in managing immunisation programmes in the Zambia and then taking a worldwide tour.
428,An account of his first year there is given in Mark Pallen's book The Last Days of Smallpox (2018).
429,"After spending his early years in Dar es Salaam among a large Indian community, he gained admission to study medicine in 1960 at Makerere University in Kampala, Uganda, from where he graduated in 1965."
430,PubMed.
431,"In the US, he held a Rockefeller Fellowship at the University of Michigan, from where he completed a masters in public health in 1971."
432,"Bakhshi, Surinder Singh; Ali, Shaukat (1995)."
433,"Health records, media and radio were utilised to pin down almost all contacts and they were isolated within 24 hours."
434,BMJ. 319 (7216): 1031–1034. doi:10.1136/bmj.319.7216.1031.
435,"In that first year in post, he had to deal with an outbreak of hepatitis B originating from an acupuncturist."
436,"""Knowledge, attitude and behaviour of TB patients""."
437,ISSN 0959-8138.
438,"After completing house jobs he worked at a hospital by the Zambezi in Zambia, before moving to the United States, where he held a Rockefeller Fellowship in public health at the University of Michigan."
439,"""Ecological analysis of ethnic differences in relation between tuberculosis and poverty""."
440,"His office was allocated in the University of Birmingham Medical School, along the same corridor as Alasdair Geddes."
441,PMID 8527189.
442,"I used to tell my wife, ‘I feel very sorry for them – they look at me and feel unhappy.’"""
443,"He recounted in an oral history and in interviews by Pallen and journalist Sally Williams, that instead of the usual eight interviewers, there was surprise that an Indian had applied for the post and 20 turned up to interview him."
444,"""The epidemiology of tuberculosis by ethnic group in Birmingham and its implications for future Trends in tuberculosis in the UK""."
445,"In 1974, after a medical posting that involved managing an outbreak of cholera among refugees from Mozambique, he moved to England and in 1977 was interviewed for a medical officer appointment in Birmingham."
446,"With colleagues, he devised a method of categorising contacts and delegated to them either medical staff, health visitors or others accordingly."
447,Leicester: Matador.
448,"Bakhshi took responsibility of visiting and dealing with the closest contacts of Janet Parker, the index case."
449,A knowledge compendium for the global age.
450,Royal Society of Health Journal.
451,"Bakhshi told him that on the day of the interview, he was told by the reception that ""people like him"" were not allowed to use the lift so he walked the 13 flights of stairs to his interview in Alpha Tower."
452,JSTOR 45160661.
453,"Bakhshi, Surinder S.; Hawker, Jeremy; Ali, Shaukat (August 1997)."
454,"Early life and education Surinder Singh Bakhshi, known as Surinderjit to his friends, was born in 1937 in Dar es Salaam to emigrants from India, Sohan Singh and Amrit Kaur."
455,"In 1999, he ran with other members of the Liberal Party for the Bankstown council as part of a group called ""New Generation"", he was unsuccessful."
456,"Since then, Yusuf has publicly campaigned against violence against women, particularly in the Muslim community."
457,He was also endorsed as Liberal Party of Australia candidate for the safe Labor seat of Reid in the 2001 Australian Federal Election.
458,Political activities Yusuf was involved in campus politics prior to joining the Liberal Party in 1993 where he became prominent in its conservative faction.
459,"In 2007, Yusuf received the Iremonger award by publishers Allen and Unwin, for his submission ""Once were Radicals"" that was published during 2009 as an autobiographical work Once Were Radicals:"
460,Irfan Yusuf (Urdu: عرفان یوسف) (born in 1969) is an Australian social commentator and author of the memoir Once Were Radicals:
461,His father was from Pakistan and his mother was born in India.
462,"In 2005 Yusuf explained ""from 1994 to 2002, I was a factional warrior for the non-Group (right-wing) faction of the NSW Liberals."""
463,"He also has a Diploma of Legal Practice from the University of Technology, Sydney."
464,He achieved a two-party preferred swing of over 5%.
465,"He has previously criticised what he says are Bishop's efforts to ""marginalise a key faith-sector of mainstream Australia"" as being ""most helpful to Osama bin Ladin""."
466,"He accused Clarke of being willing to exploit anti-semitism and homophobia to recruit Muslims from Sydney to his party and faction, and that he had made derogatory remarks to him about Jews and homosexuals."
467,"Yusuf said the campaign was more about discouraging rebelliousness and minimising cultural diversity, and facetiously suggested that dresses were far more of a national security issue: ""How do we know that these women aren't hiding bombs under their dress?""."
468,"Bishop denied Yusuf's claim, saying it was ""stupid"" and offensive."""
469,My years as a teenage Islamo-fascist.
470,"He was a guest speaker at the Sydney Writers Festival in 2009, and a description of the event said Irfan ""points the finger at mainstream extremism and hypocrisy and is a passionate (and funny) voice of moderation."
471,He graduated from Macquarie University in law and economics.
472,"In a speech to the Australian Parliament, Bishop further responded to Yusuf's criticism, declaring that Yusuf was ""known for his offensive behaviour towards women""."
473,"After a scandal involving a racist leaflet emerged during the 2007 election, Yusuf remarked on ABC's Lateline that a member expelled from the Liberal Party was perhaps affected by being ""surrounded by bigots."""
474,He was elected to the State Council of the NSW division of the Party from 1996–2000.
475,"In July 2006, in an episode of ABC's Four Corners, he joined other former Liberals in criticising the direction of the Party."
476,"In 2008, he was ""highly commended"" by the Jesuit publication Eureka Street, for an essay on combating violence against women in Muslim-majority states."
477,"Clarke vehemently denied Yusuf's claims, threatening legal action which never eventuated."
478,Commentator and author Yusuf's work has been published in 6 major newspapers and he has appeared on a number of television and radio programmes.
479,"Bishop had led a campaign to ban the muslim headscarf in state schools on grounds that it was inconsistent with school uniforms and it was therefore an ""iconic emblem of defiance""."
480,"References External links Link to Irfan's Blogger profile, listing his 7 blogs newmatilda.com – articles by Irfan Yusuf Online Opinion – articles by Irfan Yusuf"
481,"He lived in Pakistan and the U.S. for a time, and then returned to Australia and attended St Andrew's Cathedral School in Sydney."
482,"Education and work Yusuf was born in Karachi, Pakistan and was raised in Sydney."
483,He was admitted to the Supreme Court of New South Wales in 1994.
484,"In an online article in September 2005, Yusuf criticised his former factional colleague Bronwyn Bishop, a prominent Liberal member of the Australian House of Representatives."
485,Legacy Ahmed Amentag authored several famous poems and songs such as: Bou salem Bou chahwa Imik ayga zinThe national festival of rways in 2017 was dedicated to him for his contributions to the musical art of rways.
486,"During the 1950s, he was a famous rays and toured in France, Germany and Belgium."
487,"Death Ahmed Amentag fell sick during his last years and died on Tuesday, November 24, 2015 in Dcheira El Jihadia, Morocco."
488,"Ahmed Amentag (1927 – November 24, 2015) was a Moroccan singer-poet (ṛṛays) and songwriter in Tashelhit."
489,"After leaving the madrasa in Taroudant at age 17, he joined a group of rways to play ribab for them."
490,Biography Ahmed Amentag was born in the village of Mentaga near Taroudant.
491,See also Lhadj Belaid Omar Wahrouch Mohamed Demsiri External links News report about Ahmed Amentag in the Moroccan national TV 2M References
492,"Thus, his artistic name was Amentag which means ""from Mentaga"" in Tachelhit."
493,He made his first music recording during the later 1960s in Paris.
494,"A few years later, he decided to found his own group of then-famous rways such as Lhadj Belaid, Omar Wahrouch, and Mohamed Demsiri."
495,"They had one daughter, Alison."
496,"In 1956, Specht earned Fulbright, Smith Mundt and Carnegie grants to study in the U.S. Specht took up a position as Reader in plant ecology at the University of Melbourne in 1961, and became Acting Head of the Department of Botany in 1964."
497,Specht intended to pursue teaching as a career.
498,"Specht was made an Officer of the Order of Australia in 2020 for ""distinguished service to science, and to education, in the fields of botany, plant ecology and conservation."""
499,"In 1942 he was a student teacher in physics, chemistry and mathematics at Riverton High School."
500,"As the botanist for the group, Specht would spend 8 months with the team, collecting 25 tonnes of specimens."
501,Specht died on 13 February 2021.
502,"He attended Richmond Primary School and Adelaide High School, finishing high school as dux in 1941."
503,"After attending a short course in teaching at the University of Adelaide, he enrolled in Adelaide Teachers College studying biology in 1943."
504,"He combined this with studies at the University of Adelaide, and ultimately took his BSc in botany and zoology in 1945 before taking first class honours in plant ecology in 1946."
505,"After the expedition ended, Specht and his specimens flew to Brisbane in 1949 where the collected materials were identified and prepared for distribution around the world."
506,"The results of this would become Volume 3 of the Expedition, Botany and plant ecology (1958), co-edited with Charles P. Mountford."
507,He was Visiting Professor in the Department of Forestry at the University of Oxford in 1970.
508,"He was appointed a lecturer in botany in 1951, and worked on his PhD for the next two years, on mineral nutrition and biomass relationships of the heath vegetation at Dark Island, South Australia."
509,He rose to Senior Lecturer in 1955.
510,He moved to the University of Queensland in 1966 as Professor and Head of the Department of Botany and remained there until 1989.
511,"Raymond Louis Specht (19 July 1924 – 13 February 2021) was an Australian plant ecologist, conservationist and academic, who participated in the Arnhem Land Scientific Expedition of 1948."
512,They met on a University of Queensland Science Student Expedition to Fraser Island in 1949.
513,He was Visiting Professor in the Department of Botany at the University of Leeds in 1975.
514,Personal life Specht married Marion Gillies in 1952.
515,"Materials were sent to six herbaria within Australia, to Kew in England, the Rijksmuseum in Leiden, the Smithsonian Institution and Arnold Arboretum in the U.S.Specht returned to Adelaide and worked steadily on recording the materials recovered from the expedition over the next 14 years."
516,References
517,After completing his Honours project he and the 15 other members of the group set out from Adelaide in March 1948.
518,"Early life Raymond Louis Specht was born in 1924 in Adelaide, South Australia to Louis and Harriet Specht."
519,Arnhem Land Scientific Expedition Specht was invited to join the National Geographic Society and Smithsonian Institution sponsored Arnhem Land Scientific Expedition in 1946.
520,"He was one of those exhibiting gutta percha products at the Great Exhibition in 1851, with a dozen other inventions."
521,"He made a survey for a proposed railway line in Cornwall, in 1831, with Richard Thomas."
522,"Whishaw's March 1845 demonstration of gutta percha to the Society of Arts is credited with stimulating William Siemens to use it for the insulation of cables, based on suggestions of Michael Faraday."
523,"Notes and references Notes References Sources ""Obituary of Francis Whishaw, 1804–1856""."
524,In the late 1830s Whishaw was promoting his version of the hydraulic telegraph.
525,"He was known for his role in the Society of Arts, and as a writer on railways."
526,External links
527,Later in life he was a promoter of telegraph companies.
528,"""Francis Whishaw, M. Inst. C.E."" The Civil Engineer and Architect's Journal. 19: 365–366."
529,Whishaw gave an account of the electric telegraph in the London Artisan in 1849.
530,"He was taken to a doctor, and then to the a workhouse infirmary, where he died."
531,"Whishaw, F. (1838)."
532,"He was articled to James Walker, and found work as a surveyor."
533,Francis Whishaw (13 July 1804 – October 1856) was an English civil engineer.
534,"Over some indifference from Prince Albert, president of the Society, Whishaw pulled together a committee including Wentworth Dilke, Francis Fuller, and Robert Stephenson."
535,"Whishaw's exhibition, which was at his own expense, was planned to be an annual event, but was not, however, a great success."
536,"Laxton, William (1856)."
537,"In the years before his death Whishaw had suffered from reduced health, and had complained of pains in the head, and experience occasional brief memory loss."
538,The post mortem gave a verdict of natural apoplexy.
539,"""History and Construction of Westminster Bridge, Accompanied with Detailed Drawings""."
540,"""Celebrating a Great Centenary""."
541,Report of the Railway Communication with Scotland: [...] report on the proposed Lancaster and Penrith railway.
542,"In October 1856 Francis Whishaw was found late evening by a policeman in a partially conscious state, sometime after leaving his residence to attend church in Kentish Town."
543,"His own inventions included the velocentimeter, a watch for timing railway trains, and a gutta percha speaking trumpet, the ""telakouphanon"", proposed to the British Association."
544,A second exhibition of 1845 with an enlarged committee was also largely disregarded by manufacturers and the public.
545,The Railways of Great Britain and Ireland practically described and illustrated (2nd ed.).
546,"Whishaw, Francis (1840)."
547,"He worked under George Stephenson on the Manchester and Leeds Railway for the second survey of 1835, with George Parker Bidder."
548,A small exhibition set up in the Society's rooms in 1844 has been regarded as the starting point for the 1851 Great Exhibition.
549,"Possible inspirations were local British trade fairs, the French Industrial Exposition of 1844, and a Zollverein exhibition also in that year."
550,In 1847 a more substantial exhibition was held.
551,"Whishaw, F. (1839)."
552,"""Observations on the Present Mode of Executing Railways, with Suggestions for a More Economical, Yet Equally Efficient System, of Both Executing and Working Them""."
553,"Goodale, Ernest W. (17 November 1950)."
554,"Works Whishaw, Francis (1837)."
555,Minutes of the Proceedings.
556,"Whishaw was recruited by Thomas Webster as the first professional secretary for the Society of Arts, from 1843 to 1845."
557,It did prompt W. F. Cooke to push for a national exhibition in 1845.
558,"In 1839 the Institution of Civil Engineers awarded him a silver Telford medal for his History report on Westminster Bridge; it was a manuscript, of which an abstract was published in the Proceedings of the institute."
559,Abdaal Bela (born 14 December 1956) is an Urdu-language fiction writer from Pakistan.
560,He retired from the Pakistan Army as a colonel in 2007 while serving as Deputy Director ISPR.
561,Bela's schooling and college life took place in Lahore.
562,"Early life Abdaal Bela was born in Sialkot, Punjab, Pakistan."
563,He also served in the Saudi Army and in the Pakistan Navy.
564,As an MBBS doctor he started his career as a Captain in the Pakistan Army.
565,"He gained a MSc in Hospital Administration from Quaid-e-Azam University, Islamabad, in 1997."
566,References External links WorldCat list of Abdal Bela works
567,"His parents migrated from Ludhiana, British India, and settled in Lahore."
568,He studied at the Government College Lahore and the Punjab Medical College in Faisalabad.
569,"She died of heart failure on 20 May 2010, aged 89, at her home in Toorak, survived by her children, Sally, Jeremy, Richard and Nick, nine grandchildren and one great-granddaughter."
570,OCLC 9695188.
571,In 1951 for The Argus she wrote an exposé of the state-run children's hostels.
572,"She received Walkley Awards; one in 1968 for her story in Walkabout on the anthropologist Baldwin Spencer and his adoption as one of their people by the Arrernte, and in 1969 for another Walkabout article, on the Victorian ballet school."
573,Her mother Dolly died 11 June 1979.
574,"They were married in St Kilda at the Temple Beth Israel on 27 July 1944, and Alfred went on to become a printer, publisher and patron of the arts for which he received the Order of Australia in 1986."
575,She is buried at Melbourne Chevra Kadisha.
576,Pamela Ruskin (8 June 1920 – 20 May 2010) was an Australian freelance journalist with a special interest in the arts.
577,Ruskin continued to practise her profession into the new century.
578,He had migrated in 1938 and joined the Army to become a naturalised Australian.
579,"Personality A poem ‘Blue Stocking Blues’ that she wrote aged 26 for Pertinent magazine on the romantic fate of bright women typifies Ruskin's strong personality, sharp intelligence and strong views, among which were to be a distaste for judges who gave light sentences, and football, a love of dogs, an interest in stamps, and a belief that euthanasia should be legalised."
580,She held that position well into her eighties and was made a Life Member in 1996.
581,"Early life and education Born Pamela June Zimbler at Hampstead in London, she was the only daughter of Dolly (née Goldhill) and Samuel."
582,"From 1952 until 1984 she wrote on various subjects for Melbourne's The Age, contributed a regular stamp column to The Argus newspaper, and collaborated on radio plays with Morris West before he became a best-selling author."
583,"According to Ken Scarlett, her 1966 book on Karl Duldig, for which Eric Westbrook wrote the introduction was at the time and until the 1980s one of very few monographs devoted to Australian sculptors."
584,OCLC 940890073.
585,"She interviewed at length a number of significant figures for her writings including Zelman Cowan, poet Dimitris Tsaloumas, illustrator Alison Forbes, actor Barry Humphries, TV presenter Don Lane, production designer John Truscott, authors June Drummond and Ruth Rendell, young artist and curator-to-be Ron Radford, dancers Garth Welch and Robert Helpmann, conductor Helen Quach, and soprano Joan Carden."
586,Golden stamp book of Australian postage stamps.
587,"Her articles included frequent book reviews including a series of them that were an advertising feature in The Age for Margareta Webber Booksellers, and for the same newspaper she penned a series of articles on South African authors, incorporating interviews."
588,Sydney: Collins.
589,"During World War II and living at 45 Bruce St., Toorak, she served in the Royal Australian Navy decoding section, and in 1940 met Jewish refugee from Berlin, Alfred Ruskin who had been studying medicine at Berlin University, but was forced to leave during Nazi purges."
590,"She was a freelance contributor to magazines including Walkabout, for which she wrote over 30 articles between 1963 and 1978; Dance Australia Magazine; Theatre Australia; and 24 Hours."
591,"Sculpture; Vienna, Singapore, Melbourne."
592,He was also a member of the Australian Ballet Foundation Board.
593,"For 25 years she wrote a weekly column 'Roundabout' in The Australian Jewish News, which was frequenly controversial, and also a column 'Stairway To The Stars.'"
594,Investigating Arthur Upfield: A Centenary Collection of Critical Essays.
595,Golden Press.
596,"Educated at the non-denominational St Catherine's School, Toorak, she completed an Arts degree at Melbourne University."
597,"Book publications Ruskin, Pamela; Duldig, Karl (1966)."
598,"Her father was a furrier who had migrated with his family to Melbourne when she was a child of six, and conducted business until the mid-1950s in Flinders Lane, the centre of Melbourne's 'rag trade'."
599,Cambridge Scholars Publishing.
600,In 1946 her story The Man on the Mast was broadcast on radio by the Australian Broadcasting Commission.
601,"Ruskin, Pamela (1973)."
602,"Ruskin was a guest lecturer at the January 1975 Journalism Summer School conducted by Patrick Tennison at the YMCA National College in Albert Road, South Melbourne."
603,"During 1954 she and Caroline Isaacson partnered in a writers' agency 'Features,' from 11 Monomeath Ave., Toorak, advertising in The Journalist."
604,Invitation to the dance: the story of the Australian Ballet School.
605,"Pamela and her husband Alfred were supporters of the Melba Opera Trust where he served as Chairman of Council from 1972-1996, the perpetual Alfred Ruskin Memorial Award being established in his name."
606,"She considered Lolita as a genuine love story, despite the hero's unpleasant form of sexual deviation."
607,Melbourne: Cheshire.
608,"Between 23 November 1562 and 22 June 1564, he held the living of Rimpton in the Diocese of Wells."
609,"In 1548, he made his modest reputation by publishing an open letter to Richard Crispin, a canon of Exeter Cathedral who had denounced Martin Luther in a sermon at Marldon on 24 March 1547."
610,His argument was accepted by virtually all subsequent scholars.
611,"He was born in Ilfracombe, north Devon and he held property in south Devon."
612,"Philip Nichols (or Philip Nicolles, Philip Nicolls) was an evangelical writer from the West Country active in the reign of King Edward VI."
613,"Mistaken attribution of ""An answer to the articles of the commoners of Devonshire and Cornwall"" In 1549, a pro-government author wrote a manuscript tract entitled ""An answer to the articles of the commoners of Devonshire and Cornwall"", in response to the Prayer Book Rebellion."
614,Reprinted in 1575.
615,"The authorship of this work was traditionally attributed to Nicholas Udall, but in 1933, Gustave Scheurweghs – later editor of Udall's comedy Ralph Roister Doister – argued that Philip Nichols was the author."
616,"However, it has been demonstrated that the true author was actually Nicholas Udall all along, since a surviving draft was written in Udall's handwriting."
617,"He returned to England in the reign of Queen Elizabeth I, and unsuccessfully attempted to lobby Sir William Cecil to step up the pace of religious reform."
618,"Notes References C. Bradshaw, ""Nicolls [Nichols], Philip (fl. 1547–1564)"", Oxford DNB Online."
619,"On the accession of Queen Mary I, Nichols fled into exile, joining a Protestant colony at Aarau."
620,"This letter, very polite by the standards of early modern religious controversy, aimed to prove that the Bible is the principal ""touch stone, or triall"" of whether religious teachings are true or false."
621,"The date of his death, like the date of his birth, is unknown."
622,He was a client of the Protestant gentleman Sir Peter Carew and shared his patron's enthusiasm for reformed religion.
623,"In the 1960s, Rhee's political regime ended and anti-imperialism sentiments redoubled, followed by scholars pursuing a new autonomous history of Korea, and revived the term minjok."
624,"Shin was taught various Neo-Confucian books and concepts by his grandfather, and later enrolled in the Confucian academy Seonggyungwan,: 441–2  receiving a doctoral degree in 1905."
625,"Shin described a slow fall of the minjok, primarily attributing a high point to King Muyeol of Silla, and then descent through the fall of Balhae and slow fracturing of Korean social unity through politics and war."
626,"Shin died while in solitary confinement at Lüshun Prison of a brain hemorrhage on the 21st of February, 1936.: 156 : 447  The Republic of Korea posthumously awarded Shin with the ""Presidential Order of Merit for National Foundation"" in 1962 and citizenship on April 13, 2013."
627,He responded that some four-year-olds already knew the first one thousand characters in Chinese and that some had already begun the Children's First Learning Programme (Dongmong seonseup).
628,"Shin praised the Koryeo and Choseon dynasties, but insisted that the successes that they brought were only partial, lamenting that if scholars ""are searching for a full unification, it cannot be found after Tangun."": 35–6 Juche Shin Chae-ho is often credited as the primary source in the Juche (주체; 主體; meaning Self-reliance or Autonomy; sometimes spelt Chuch'e) political ideology."
629,"If Shin had knowingly presented a Korean-ized Divine Comedy as an authentic work of Korean fiction, it would be an adulteration of the minjok historiography project by Shin's own standards of ethno-cultural autonomy."
630,Criticism Standards of education Shin Chae-ho's high standards of education and early enrollment of children in school (at age 4) were criticized as excessive.
631,"For Shin, space, culture, and patriotism became inseparable.: 239  A worry of some Koreans is their ethno-cultural continuation, and the loss of ""Korean-ness"" as Koreans either travel abroad or adopt foreign customs."
632,His grandfather was an official in the royal advisory department.
633,"The new South Korean government favoured the term kukka (국가), which implied loyalty to the Republic of Korea, over Shin's minjok (민족)."
634,"Within Shin's work, the Manchurian-Korean Buyeo minjok is interpreted as the standard of measure for historical progress in Korea.: 34  Shin described a racial history of conflict between the various races of East Asia, as well as a political history."
635,"This is aggravated by the fact that Shin had few, if any, compelling references for his historical claims, making his boundaries largely arbitrary or folk-history based.: 31 Dream Sky borrowed from Dante's Divine Comedy Shin Chae-ho's Dream Sky at times resembles Dante's Divine Comedy."
636,Thought The Minjok and Korean ethnic nationalism Shin Chae-ho wrote extensively on a theory of ethnic history which sought to challenge traditional border concepts in Korea and encourage Korean nationalism.
637,"His pen name was ""Dansaeng"", which he later changed to ""Danjae""."
638,"However, his own works consistently employed territorial terms, boundaries, borders that only differ by how Shin justified them by a very ancient Korea, while the ""territorial historians'"" terms are usually traced to younger Chinese courts."
639,"Shin did not describe Korea as the ""victor"" of these racial battles."
640,"The minjok as a more basal concept than the gukga and did not substantially change between generations, whereas the gukga could change between kingdoms, government, and rules.: 40 By defining the minjok as a rich and powerful ethnic history, Shin constructed an anti-imperialism and anti-colonialism social defence."
641,"The term minjok was decried as politically unacceptable by Shin's old acquaintance from the Provisional Government, and now the first president of South Korea, Syngman Rhee."
642,"For Shin, ""if one dismisses the minjok, there is no history""; to ignore or to down-play the minjok was to devitalize history itself.: 32 Within the greater minjok history of a nation there was a host race, the chujok (주족); the identification of the chujok was necessary for tracing the authentic history of a nation, and solidified an ethnocentric national history."
643,"In addition to her writing she worked as a teacher, raised a family, and bred Angora goats."
644,"She grew up in London, England and later moved to the Otago Peninsula."
645,Joan de Hamel (31 March 1924 – 28 July 2011) was a New Zealand children's writer.
646,School garden projects Vancouver (1998–2002): Spirit of Nature Gardens Spirit of Nature Gardens began as a research project to revitalize urban school grounds through school and community gardening.
647,Pevec received her master's degree in Curriculum Studies from the University of British Columbia in 2000.
648,"Chawla, L., Keena, K., Pevec, I., Stanley, E. (2014) ""Green schoolyards as havens from stress and resources for resilience in childhood and adolescence."""
649,"""Book Review: Building Commons and Community."""
650,"Children, Youth and Environments 19 (1)."
651,"Chawla, L., Flanders-Cushing, D., Malinin, L. H., Pevec, I., van Vliet, W., and Zuniga, K. (2012)."
652,"""Children and the Environment,"" Childhood Studies: 1–33."
653,"Children, Youth and Environments 15 (2)."
654,"""Book Review: Teaching Green: The Elementary Years."
655,"Journals/educational magazines Pevec, I., Barnett, M. Nzira, M., Shava, S. (2016) ""Urban Agriculture."""
656,"Children, Youth and Environments 17 (2)."
657,"Illène Pevec (born June 6, 1948) is an author, journalist, children's activist, and educator who works in developing youth gardens at schools and community centers."
658,"""The Spirit of Nature: The Grandview/U'uqiank'uuh Public Art Project"", British Columbia Art Teachers' Association, 40 (2), 19–24."
659,"""Book Review: Gaining Ground."""
660,"Based in Carbondale, Colorado, Pevec serves as the program director for Fat City Farmers, a local food education program in Basalt, Colorado."
661,"Books Pevec, I., (2016)."
662,"She is a multinational citizen (Brazil, US, and Canada) and has developed youth gardens in all three countries."
663,"Pevec authored Growing a Life: Teen Gardeners Harvest Food, Health, and Joy (New Village Press 2016), a book that integrates her work in US community youth gardens with observations from other disciplines to generate a better understanding of the positive effect mentored urban gardening can have on youth development."
664,"Cries in the Dark: Violence Prevention for Young People, 1995."
665,"Pevec is the mother of five children and has lived in Canada, Brazil, Portugal, and the United States."
666,"Chawla, L, Derr, V., Pevec, I. (2016) ""Early Childhood."""
667,Pevec produced and co-edited a documentary about her work in Brazil entitled A Child's Garden of Peace (2005).
668,Education Pevec attended Stanford University from 1966-1969 but later graduated from Marylhurst University in 1993 with a bachelor's degree in Interdisciplinary Humanities.
669,"Children,Youth and Environments 17 (4)."
670,The film toured international festivals from 2005–2006 and ran on PBS's award-winning Natural Heroes series.
671,"""Book review: Doing Time in the Garden: Life Lessons Learning from Prison Horticulture."""
672,"""Film review: Sita, A Girl from Jambu."""
673,"Brazil (2001–2011): A Child's Garden of Peace Pevec founded A Child's Garden of Peace in 2001 to provide organically grown produce, medicinal plants, and education in environmental responsibility to Brazilian communities."
674,"With help from students, parents, teachers, and community members, Pevec and Penner transformed one acre of underused land into a site for learning and community gatherings."
675,"In Growing a Life: Teen Gardeners Harvest Food, Health, and Joy (New Village Press, October 2016), Pevec interviews over 80 youth gardeners from Colorado, New York, New Mexico and California-based school gardening programs to investigate whether gardening affects at-risk teens' affective states and improves their ability to focus, their eating habits, and/or their environmental awareness."
676,"Teaching Green: The Middle Years."""
677,"Arts and Multiculturalism, 1991."
678,"Vancouver, Canada: Arts Umbrella."
679,The Facilitated Flatirons Academy project was funded by the University of Colorado Outreach.
680,"In 2014, she began an immigrant community garden at Roaring Fork High School for Spanish speaking immigrant families in partnership with Valley Settlement Project and Fat City Farmers."
681,"Pevec, I., (2003)."
682,"""Ethnobotanical gardens: celebrating the link between human culture and the natural world."""
683,Urban Environmental Education Review.
